Rank order,Type,Frequency
784,dead,6
785,joined,6
786,little,6
787,large,6
788,doctrine,6
789,proceeds,6
790,relevant,6
791,accept,6
792,fourth,6
793,suggest,6
794,expect,6
795,yourselves,5
796,j,5
797,blood,5
798,beliefs,5
799,empty,5
800,rome,5
801,darius,5
802,woman,5
803,regard,5
804,condition,5
805,spoken,5
806,sicily,5
807,delian,5
808,concern,5
809,worked,5
810,moment,5
811,season,5
812,don',5
813,combination,5
814,water,5
815,introduction,5
816,easy,5
817,oligarchs,5
818,london,5
819,believing,5
820,seasons,5
821,length,5
822,dog,5
823,don,5
824,characterized,5
825,main,5
826,constitution,5
827,speeches,5
828,exactly,5
829,invention,5
830,aristotle's,5
831,allies,5
832,open,5
833,roughly,5
834,felt,5
835,needed,5
836,renaissance,5
837,healthy,5
838,love,5
839,internal,5
840,hands,5
841,year,5
842,allowed,5
843,kalos,5
844,debates,5
845,historical,5
846,hardly,5
847,authors,5
848,shame,5
849,sextus,5
850,forms,5
851,remain,5
852,eye,5
853,antecedent,5
854,whatever,5
855,next,5
856,battles,5
857,rise,5
858,physiology,5
859,modern,5
860,arabic,5
861,physician,5
862,criticize,5
863,produced,5
864,keep,5
865,inflammations,5
866,relaxed,5
867,along,5
868,attention,5
869,oneself,5
870,extent,5
871,assumption,5
872,familiar,5
873,origin,5
874,nutton,5
875,easily,5
876,iv,5
877,ix,5
878,complete,5
879,months,5
880,author,5
881,fight,5
882,obtained,5
883,seek,5
884,reasonable,5
885,military,5
886,reasonably,5
887,vi,5
888,epistemological,5
889,continued,5
890,purpose,5
891,observations,5
892,god,5
893,wish,5
894,enormous,5
895,authority,5
896,onwards,5
897,kinds,5
898,rationalism,5
899,accord,5
900,last,5
901,freed,5
902,early,5
903,prime,5
904,salamis,5
905,i.e.,5
906,meet,5
907,phenomena,5
908,shameful,5
909,action,5
910,anatomy,5
911,together,5
912,instance,5
913,albinus,5
914,principles,5
915,appears,5
916,firm,5
917,distinguish,5
918,except,5
919,nevertheless,5
920,unless,5
921,equality,5
922,whenever,5
923,fair,5
924,event,5
925,gratify,5
926,properly,5
927,edelstein,5
928,treatise,5
929,citizens,5
930,empiricus,5
931,helped,5
932,therefore,5
933,prevent,5
934,years,5
935,future,5
936,acquire,5
937,ask,5
938,defend,5
939,largely,5
940,born,5
941,habits,5
942,daily,5
943,bad,5
944,offer,5
945,suffer,5
946,words,5
947,practices,5
948,trained,5
949,join,5
950,begin,5
951,erasistratus,5
952,sign,5
953,encouraged,5
954,friend,5
955,noblest,5
956,persia,5
957,doing,5
958,idea,5
959,throughout,5
960,figure,5
961,derive,5
962,recall,5
963,lead,5
964,justice,5
965,studied,5
966,competent,4
967,quiet,4
968,rational,4
969,f,4
970,g,4
971,analytics,4
972,realized,4
973,walls,4
974,drugs,4
975,teacher,4
976,lengthy,4
977,element,4
978,prevented,4
979,situation,4
980,replaced,4
981,enslaved,4
982,actual,4
983,historians,4
984,pain,4
985,fallen,4
986,requires,4
987,performed,4
988,postulate,4
989,nosebleeding,4
990,heavily,4
991,areas,4
992,grateful,4
993,occasions,4
994,training,4
995,relax,4
996,relay,4
997,menodotus,4
998,brothers,4
999,council-chamber,4
1000,status,4
1001,skin,4
1002,mad,4
1003,knows,4
1004,galeni,4
1005,opera,4
1006,peripatetics,4
1007,feel,4
1008,becomes,4
1009,opposed,4
1010,character,4
1011,fell,4
1012,middle,4
1013,appear,4
1014,dense,4
1015,bitten,4
1016,ionia,4
1017,attic,4
1018,reliable,4
1019,toward,4
1020,sea-battles,4
1021,opinion,4
1022,altogether,4
1023,ages,4
1024,marcus,4
1025,winter,4
1026,ultimately,4
1027,music,4
1028,agreement,4
1029,contains,4
1030,stop,4
1031,gather,4
1032,precisely,4
1033,attacked,4
1034,occurs,4
1035,remind,4
1036,commentators,4
1037,thoroughly,4
1038,secretions,4
1039,followers,4
1040,hammond,4
1041,wanted,4
1042,argued,4
1043,expectations,4
1044,cyprus,4
1045,features,4
1046,occupy,4
1047,conclusion,4
1048,lived,4
1049,race,4
1050,hellenica,4
1051,furthermore,4
1052,risk,4
1053,completely,4
1054,differences,4
1055,climate,4
1056,wondrous,4
1057,tanagra,4
1058,diodes,4
1059,urging,4
1060,former,4
1061,consideration,4
1062,search,4
1063,observe,4
1064,arose,4
1065,ff,4
1066,justly,4
1067,clarendon,4
1068,likely,4
1069,lower,4
1070,turned,4
1071,library,4
1072,alcibiades,4
1073,somehow,4
1074,readily,4
1075,opponents,4
1076,sm,4
1077,details,4
1078,held,4
1079,get,4
1080,explanation,4
1081,analysis,4
1082,masters,4
1083,standard,4
1084,correct,4
1085,wise,4
1086,pay,4
1087,lack,4
1088,phlebotomy,4
1089,divided,4
1090,invisible,4
1091,delivered,4
1092,entire,4
1093,period,4
1094,hundred,4
1095,particularly,4
1096,framework,4
1097,attributes,4
1098,harmful,4
1099,basic,4
1100,followed,4
1101,recognize,4
1102,critically,4
1103,defense,4
1104,dispositions,4
1105,frede,4
1106,late,4
1107,continue,4
1108,ancients,4
1109,rusten,4
1110,empirikerschule,4
1111,measure,4
1112,aurelius,4
1113,encountered,4
1114,choice,4
1115,listen,4
1116,major,4
1117,bear,4
1118,mothers,4
1119,opportunity,4
1120,islands,4
1121,trying,4
1122,calls,4
1123,goodwill,4
1124,corpus,4
1125,hold,4
1126,home,4
1127,gomme,4
1128,sons,4
1129,illness,4
1130,occur,4
1131,abundance,4
1132,griechische,4
1133,eretria,4
1134,face,4
1135,calculation,4
1136,rule,4
1137,sphacteria,4
1138,eretrians,4
1139,classical,4
1140,fall,4
1141,multitude,4
1142,inferred,4
1143,ill,4
1144,invariably,4
1145,helmreich,4
1146,fortune,4
1147,resolution,4
1148,grief,4
1149,persons,4
1150,ionian,4
1151,monographs,4
1152,providing,4
1153,fate,4
1154,costiveness,4
1155,add,4
1156,trust,4
1157,previously,4
1158,happiness,4
1159,nurtured,4
1160,synthesis,4
1161,laxatives,4
1162,read,4
1163,badly,4
1164,leipzig,4
1165,consists,4
1166,until,4
1167,goodness,4
1168,devoted,4
1169,ars,4
1170,engagement,4
1171,mother,4
1172,name,4
1173,negative,4
1174,physics,4
1175,superfluous,4
1176,bore,4
1177,saw,4
1178,constricted,4
1179,complex,4
1180,beauty,4
1181,eclecticism,4
1182,capable,4
1183,expert,4
1184,galenic,4
1185,sentence,4
1186,ordinary,4
1187,works,4
1188,world,4
1189,side,4
1190,change,4
1191,traditionally,4
1192,powers,4
1193,high,4
1194,level,4
1195,behind,4
1196,chance,4
1197,social,4
1198,relying,4
1199,earth,4
1200,fighting,4
1201,deny,4
1202,xenophon,4
1203,vast,4
1204,declare,4
1205,claiming,4
1206,burial,4
1207,discord,4
1208,naval,4
1209,successful,4
1210,zeus,4
1211,centuries,4
1212,ready,4
1213,padua,3
1214,legs,3
1215,successfully,3
1216,vengeance,3
1217,policy,3
1218,address,3
1219,e,3
1220,s,3
1221,w,3
1222,accumulated,3
1223,violent,3
1224,uvula,3
1225,harm,3
1226,discharged,3
1227,city's,3
1228,conjunction,3
1229,smyrna,3
1230,function,3
1231,including,3
1232,university,3
1233,twofold,3
1234,distinguished,3
1235,contemporaries,3
1236,expedition,3
1237,supply,3
1238,leg,3
1239,beautiful,3
1240,undue,3
1241,dilated,3
1242,thirty,3
1243,perfectly,3
1244,fashion,3
1245,surely,3
1246,adorned,3
1247,aspects,3
1248,resistant,3
1249,moderation,3
1250,meros,3
1251,destroy,3
1252,deemed,3
1253,pretext,3
1254,meant,3
1255,interests,3
1256,possession,3
1257,accustomed,3
1258,island,3
1259,epicureans,3
1260,formal,3
1261,ample,3
1262,relied,3
1263,elsewhere,3
1264,relies,3
1265,lectures,3
1266,unlike,3
1267,involve,3
1268,legal,3
1269,regarding,3
1270,final,3
1271,blessed,3
1272,helping,3
1273,thick,3
1274,latin,3
1275,lying,3
1276,nobility,3
1277,listeners,3
1278,trustworthy,3
1279,terrible,3
1280,background,3
1281,befits,3
1282,stake,3
1283,witness,3
1284,moderate,3
1285,myself,3
1286,highest,3
1287,athena,3
1288,won',3
1289,sea-battle,3
1290,increasing,3
1291,progress,3
1292,treat,3
1293,forced,3
1294,disagree,3
1295,revolt,3
1296,rhetoricians,3
1297,relation,3
1298,knowing,3
1299,defended,3
1300,ear,3
1301,existence,3
1302,olive,3
1303,failed,3
1304,advantage,3
1305,polus,3
1306,temple,3
1307,exception,3
1308,saved,3
1309,urge,3
1310,inspired,3
1311,community,3
1312,version,3
1313,immediately,3
1314,occupations,3
1315,logical,3
1316,spring,3
1317,looseness,3
1318,finely,3
1319,calamity,3
1320,fails,3
1321,mistake,3
1322,special,3
1323,sweat,3
1324,gift,3
1325,told,3
1326,turns,3
1327,practitioner,3
1328,indicates,3
1329,share,3
1330,positions,3
1331,individually,3
1332,plataea,3
1333,influenced,3
1334,respective,3
1335,engage,3
1336,victories,3
1337,decided,3
1338,relaxation,3
1339,continent,3
1340,stayed,3
1341,remains,3
1342,objections,3
1343,sciences,3
1344,corinthians,3
1345,detailed,3
1346,modest,3
1347,determined,3
1348,berlin,3
1349,happened,3
1350,peripatetic,3
1351,discoveries,3
1352,sides,3
1353,distinction,3
1354,marked,3
1355,unworthy,3
1356,politics,3
1357,win,3
1358,fluids,3
1359,doubts,3
1360,sure,3
1361,formed,3
1362,ca,3
1363,humanity,3
1364,attacks,3
1365,contraries,3
1366,pursuits,3
1367,skill,3
1368,attended,3
1369,counter,3
1370,context,3
1371,verb,3
1372,tumour,3
1373,ability,3
1374,la,3
1375,agora,3
1376,ruling,3
1377,possessed,3
1378,schematic,3
1379,chosen,3
1380,student,3
1381,lowly,3
1382,sympathy,3
1383,brief,3
1384,settled,3
1385,adopt,3
1386,discovered,3
1387,origins,3
1388,single,3
1389,generations,3
1390,trophies,3
1391,obscure,3
